Reference Geometry	Ply Group	Sequence	Ply/Insert	Material	C373	C374	C375	C369	C370	C371	C361	C362	C363	C353	C354	C355	C345	C346	C347	C337	C338	C339	C329	C330	C331	C321	C322	C323	C313	C314	C315	
OML	Plies Group.1	S.1	Ply.1	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
OML	Plies Group.1	S.2	Ply.2	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.3	Ply.3	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.4	Ply.4	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.5	Ply.5	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.6	Ply.6	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.7	Ply.7	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.8	Ply.8	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											0	
OML	Plies Group.1	S.9	Ply.9	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
OML	Plies Group.1	S.10	Ply.10	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					90		90	90	90	90	90	
OML	Plies Group.1	S.11	Ply.11	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.12	Ply.12	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.13	Ply.13	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.14	Ply.14	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.15	Ply.15	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D															-45		-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.16	Ply.16	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																		-45			-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.17	Ply.17	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D									45		45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
